time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
205,0,0,0,0,0,0.0557251,30,0,0,0,0,0,0,0,2571,0,0,219,0,0,0,0,0,0.0126404,342,0.0106927,342,0.0018235,342,7.93e-005,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,534,160.2,32.04,3.204,0.171799,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,3,0,0,0.0270715,542,0.0112195,542,0.003174,542,0.0126199,542,0.0064378,189,3.74e-005,189,0.0009425,17,8.62e-005,24,0.0053361,189,0.0004208,189,0.0001538,138,0.0001241,2,0,0,7.02e-005,187,0.0002773,189,0.0014186,189,7.48e-005,189,2.95e-005,189,0.0026695,189,0.000215,189,0.0019726,189,0.0003765,138,14666,189
405,1,24,119.34,49.5,7.8336,0.178192,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.045118,742,0.0113319,742,0.004432,742,0.0292852,742,0.0134001,389,7.57e-005,389,0.0011452,29,0.0001768,49,0.0119387,389,0.0009641,389,0.0003964,338,0.0001241,2,0,0,0.0001415,387,0.0003812,389,0.0032376,389,0.0001412,389,5.92e-005,389,0.006289,389,0.0004878,389,0.0046899,389,0.0008961,338,35866,389
505,1,9,86.238,56.8476,12.735,0.18177,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.0635089,942,0.0114566,942,0.0056915,942,0.0462803,942,0.0204287,589,0.0001107,589,0.0013601,42,0.000266,74,0.0185846,589,0.0014979,589,0.0006269,538,0.0001241,2,0,0,0.0002134,587,0.000486,589,0.0050868,589,0.0002078,589,8.66e-005,589,0.0099426,589,0.0007602,589,0.0074332,589,0.0014265,538,57066,589
605,1,4,61.5666,57.7914,17.2406,0.193138,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.0820568,1142,0.011596,1142,0.0070089,1142,0.0633583,1142,0.027491,789,0.0001487,789,0.0015636,54,0.0003566,99,0.0252868,789,0.0020562,789,0.0008941,738,0.0001241,2,0,0,0.0002875,787,0.0005957,789,0.0069774,789,0.0002784,789,0.0001147,789,0.0135369,789,0.0010346,789,0.0100899,789,0.0019757,738,78266,789
705,1,3,43.9966,55.0324,21.0198,0.183838,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.100719,1342,0.0117736,1342,0.0083336,1342,0.0805051,1342,0.0346178,989,0.0001846,989,0.0017951,67,0.0004484,124,0.0320285,989,0.0026047,989,0.001136,938,0.0001241,2,0,0,0.0003601,987,0.0007032,989,0.0088965,989,0.0003464,989,0.0001401,989,0.0171838,989,0.0013076,989,0.0128027,989,0.0025253,938,99466,989
805,1,13,34.6976,50.9655,24.0144,0.190338,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.119452,1542,0.0119109,1542,0.009624,1542,0.0977986,1542,0.0417684,1189,0.0002209,1189,0.0020075,79,0.0005409,149,0.0388114,1189,0.0031765,1189,0.0013925,1138,0.0001241,2,0,0,0.0004346,1187,0.0008136,1189,0.0107973,1189,0.0004113,1189,0.0001672,1189,0.0208476,1189,0.0015882,1189,0.0155062,1189,0.0030956,1138,120666,1189
905,1,18,29.6883,46.7101,26.284,0.173746,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.137431,1742,0.0120408,1742,0.0108666,1742,0.114394,1742,0.048635,1389,0.0002569,1389,0.0022172,92,0.0006271,174,0.0453197,1389,0.0037198,1389,0.0016456,1338,0.0001241,2,0,0,0.0005062,1387,0.0009194,1389,0.0125435,1389,0.0004766,1389,0.0001948,1389,0.0244361,1389,0.0018716,1389,0.0181798,1389,0.0036215,1338,141866,1389
1005,1,0,20.7818,41.5244,27.808,0.189621,0,0,0,0,0,0,0,0,2570,0,0,219,0,0,0,0,0,0.15515,1942,0.0121694,1942,0.0120342,1942,0.130805,1942,0.0553751,1589,0.0002916,1589,0.0025929,110,0.0006871,199,0.0515595,1589,0.0042051,1589,0.0018986,1538,0.0001241,2,0,0,0.0005824,1587,0.001056,1589,0.013993,1589,0.0005346,1589,0.0002289,1589,0.028073,1589,0.0021535,1589,0.0209275,1589,0.0041223,1538,163066,1589
1105,1,4,15.7473,36.369,28.6641,0.868954,18,9.77772,0.176165,0.423423,0.00424596,0.00299627,7.33884,0,120,11,0,219,0,0,0,0,0,0.253673,2142,0.0128668,2142,0.0132444,2142,0.227409,2142,0.144485,1789,0.0003559,1789,0.0090592,220,0.0008285,224,0.13397,1789,0.004586,1789,0.0021362,1738,0.0145622,18,3.08e-005,2,0.0006423,1761,0.0199467,1789,0.0156561,1789,0.0006019,1789,0.0017173,1789,0.0731348,1789,0.0074351,1789,0.0243652,1789,0.0401249,1738,358666,1789
1205,1,0,11.0231,31.2998,28.9277,0.643211,19,9.45371,0.204358,0.475257,0.00387437,0.00283743,6.59147,0,109,9,0,219,0,0,0,0,0,0.325465,2342,0.0134618,2342,0.0144523,2342,0.297386,2342,0.204816,1989,0.0003964,1989,0.0113526,281,0.0009361,249,0.191833,1989,0.0049732,1989,0.0023634,1938,0.0145622,18,3.08e-005,2,0.0007141,1961,0.0237081,1989,0.0173337,1989,0.0006641,1989,0.0021163,1989,0.124299,1989,0.0154934,1989,0.0288422,1989,0.0780729,1938,568576,1989
1305,1,0,7.71617,26.5831,28.6932,0.790678,19,11.7113,0.157812,0.578215,0.00406487,0.00340664,7.28892,0,116,6,0,219,0,0,0,0,0,0.39682,2542,0.0140214,2542,0.0156166,2542,0.367006,2542,0.265064,2189,0.0004333,2189,0.013711,352,0.0010513,274,0.249546,2189,0.005362,2189,0.00259,2138,0.0145622,18,0.0004358,10,0.0007811,2161,0.0275517,2189,0.0191309,2189,0.0007259,2189,0.0023639,2189,0.174868,2189,0.0233521,2189,0.0331571,2189,0.115805,2138,780808,2189
