time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
223,0,0,0,0,0,0.0440674,2,0,0,0,0,0,0,0,1574,0,0,227,0,0,0,0,0,0.0136522,369,0.0115725,369,0.0019414,369,7.9e-005,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,1,404,121.2,24.24,2.424,0.193062,0,0,0,0,0,0,0,0,1574,0,0,227,0,0,3,0,0,0.0269972,569,0.0120599,569,0.0031447,569,0.0117197,569,0.0058167,186,3.31e-005,186,0.000901,17,9.23e-005,25,0.004759,186,0.0003756,186,0.0001431,135,8.59e-005,2,0,0,6.53e-005,184,0.0001906,186,0.0012926,186,6.4e-005,186,2.69e-005,186,0.0024199,186,0.0002002,186,0.0017668,186,0.0003543,135,14346,186
423,1,20,90.84,37.56,5.9376,0.176743,0,0,0,0,0,0,0,0,1574,0,0,227,0,0,0,0,0,0.0445862,769,0.0121736,769,0.0042187,769,0.0281099,769,0.0123185,386,6.9e-005,386,0.0011357,29,0.0001793,50,0.0108784,386,0.0008769,386,0.0003453,335,8.59e-005,2,0,0,0.0001298,384,0.0002926,386,0.003057,386,0.0001193,386,5.33e-005,386,0.0057137,386,0.0004592,386,0.0042006,386,0.0008514,335,35546,386
523,1,17,68.688,43.7856,9.7224,0.171303,0,0,0,0,0,0,0,0,1574,0,0,227,0,0,0,0,0,0.0620337,969,0.0122975,969,0.0052781,969,0.0443638,969,0.0187632,586,0.0001049,586,0.0013837,42,0.0002668,75,0.0169306,586,0.001389,586,0.000572,535,8.59e-005,2,0,0,0.0002005,584,0.0003941,586,0.0048251,586,0.0001792,586,7.58e-005,586,0.0088972,586,0.0007185,586,0.0065267,586,0.001347,535,56746,586
623,1,10,51.0816,45.2448,13.2746,0.172035,0,0,0,0,0,0,0,0,1574,0,0,227,0,0,0,0,0,0.079342,1169,0.0124271,1169,0.0063134,1169,0.0604964,1169,0.0250837,786,0.0001432,786,0.0016083,54,0.0003544,100,0.0228816,786,0.001906,786,0.0007901,735,8.59e-005,2,0,0,0.0002668,784,0.0004977,786,0.0065629,786,0.0002385,786,9.7e-005,786,0.0120211,786,0.0009765,786,0.0088003,786,0.0018405,735,77946,786
723,1,11,39.0571,44.0073,16.3479,0.171463,0,0,0,0,0,0,0,0,1574,0,0,227,0,0,0,0,0,0.0966743,1369,0.0125538,1369,0.0073452,1369,0.0766589,1369,0.0314247,986,0.000179,986,0.0018487,67,0.0004428,125,0.0288378,986,0.0024308,986,0.0010149,935,8.59e-005,2,0,0,0.0003352,984,0.0005981,986,0.0083073,986,0.0002962,986,0.0001184,986,0.0151323,986,0.0012357,986,0.0110626,986,0.002328,935,99146,986
823,1,17,32.44,41.6938,18.8825,0.163197,0,0,0,0,0,0,0,0,1574,0,0,227,0,0,0,0,0,0.113985,1569,0.012679,1569,0.0083652,1569,0.0928127,1569,0.0378136,1186,0.000215,1186,0.0022628,84,0.0005237,150,0.0346778,1186,0.0029618,1186,0.0012383,1135,8.59e-005,2,0,0,0.0004008,1184,0.0007302,1186,0.0099796,1186,0.0003533,1186,0.0001376,1186,0.0181657,1186,0.0014912,1186,0.0132361,1186,0.0028346,1135,120346,1186
923,1,0,22.708,37.8966,20.7839,0.596358,0,0,0,0,0,0,0,0,1574,0,0,227,0,0,0,0,0,0.20772,1769,0.0128554,1769,0.0096517,1769,0.185072,1769,0.122532,1386,0.0002651,1386,0.0075022,176,0.0006622,175,0.11394,1386,0.0034049,1386,0.0015419,1335,0.0137702,16,1.08e-005,2,0.0004674,1370,0.0172539,1386,0.0118938,1386,0.0004454,1386,0.0014908,1386,0.0629206,1386,0.0063923,1386,0.0167577,1386,0.0387402,1335,300618,1386
1023,1,3,16.7956,33.6764,22.0732,0.540863,14,13.5087,0.00994895,0.0963471,0.00225877,0.00157191,8.47284,0,82,11,0,227,0,0,0,0,0,0.263672,1969,0.0132341,1969,0.010725,1969,0.239559,1969,0.16767,1586,0.0003051,1586,0.0078948,192,0.0007345,200,0.158548,1586,0.0038208,1586,0.0018219,1535,0.0137702,16,4.35e-005,4,0.000523,1541,0.0189846,1586,0.0133601,1586,0.0005061,1586,0.001554,1586,0.103304,1586,0.0121055,1586,0.0204815,1586,0.0690369,1535,484436,1586
1123,1,0,11.7569,29.2925,22.7951,0.591984,33,4.07101,0.184817,0.129175,0.00320399,0.00229535,7.43593,0,44,9,0,227,0,0,0,0,0,0.318949,2169,0.0139399,2169,0.0117862,2169,0.293058,2169,0.211591,1786,0.000344,1786,0.0086267,219,0.0008043,225,0.2016,1786,0.0041766,1786,0.0020532,1735,0.0137702,16,4.35e-005,4,0.0005824,1718,0.0211157,1786,0.0149267,1786,0.000564,1786,0.0016204,1786,0.14178,1786,0.0177543,1786,0.0239519,1786,0.0978086,1735,660899,1786
