time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
269.5,1,0,0,0,0,0.221893,40,0,0,0,0,0,0,0,1573,0,0,262,0,0,3,0,0,0.0261559,431,0.0152262,431,0.0025482,431,0.0083254,431,0.0045197,111,2.05e-005,111,0.0007368,11,5.73e-005,15,0.0036829,111,0.0002043,111,0.0001011,83,0.0001143,2,0.0001542,12,3.78e-005,109,0.0002719,111,0.0007404,111,3.75e-005,111,2.05e-005,111,0.0019445,111,0.0001231,111,0.0015499,111,0.0002143,83,8964,111
369.5,1,6,1.8,0.36,0.036,0.205475,0,0,0,0,0,0,0,0,1574,0,0,262,0,0,0,0,0,0.045752,631,0.0158354,631,0.0037023,631,0.0261466,631,0.0122229,311,5.65e-005,311,0.0011534,31,0.00014,40,0.0108211,311,0.0006748,311,0.0003025,283,0.0001143,2,0.0001542,12,0.0001082,309,0.0004862,311,0.0024786,311,9.55e-005,311,5.2e-005,311,0.0061978,311,0.0004019,311,0.0049262,311,0.0007074,283,30180,311
469.5,1,24,8.46,1.98,0.2304,0.602173,0,0,0,0,0,0,0,0,1574,0,0,262,0,0,0,0,0,0.111954,831,0.0160083,831,0.0048218,831,0.0910455,831,0.0675337,511,0.0001035,511,0.0032727,74,0.0002778,65,0.0638,511,0.0011745,511,0.0005719,483,0.0047659,6,0.0001542,12,0.0001766,505,0.0057377,511,0.0043673,511,0.0001532,511,0.0004649,511,0.0459711,511,0.0036091,511,0.0080021,511,0.0337187,483,216823,511
569.5,1,11,9.222,3.4284,0.5502,0.576126,0,0,0,0,0,0,0,0,1574,0,0,262,0,0,0,0,0,0.170667,1031,0.016179,1031,0.0059803,1031,0.148417,1031,0.115002,711,0.0001406,711,0.0034984,87,0.0003648,90,0.110895,711,0.0017096,711,0.0008577,683,0.0047659,6,0.0001542,12,0.0002494,705,0.0062281,711,0.0062942,711,0.0002121,711,0.0004896,711,0.0895621,711,0.0073782,711,0.011102,711,0.0698183,683,418023,711
669.5,1,5,7.9554,4.3338,0.92856,0.5877,0,0,0,0,0,0,0,0,1574,0,0,262,0,0,0,0,0,0.230183,1231,0.0163644,1231,0.0071136,1231,0.206604,1231,0.163132,911,0.0001805,911,0.0043158,117,0.0004707,115,0.15804,911,0.0022309,911,0.0011298,883,0.0047659,6,0.000167,14,0.0003189,905,0.0076032,911,0.008163,911,0.0002768,911,0.0005596,911,0.132332,911,0.0111311,911,0.0140825,911,0.105302,883,618783,911
769.5,1,6,7.36878,4.9408,1.32978,0.622307,0,0,0,0,0,0,0,0,1574,0,0,262,0,0,0,0,0,0.290892,1431,0.0165483,1431,0.00829,1431,0.26594,1431,0.212247,1111,0.0002184,1111,0.0051497,148,0.0005786,140,0.206155,1111,0.0027729,1111,0.0014121,1083,0.0047659,6,0.0001748,16,0.0003924,1105,0.0088641,1111,0.0100612,1111,0.0003408,1111,0.0006294,1111,0.176128,1111,0.0148376,1111,0.0171287,1111,0.141772,1083,819742,1111
869.5,1,14,9.35815,5.82427,1.77923,0.639526,8,0,0,0,0,0,0,0,2165,0,0,262,0,0,0,0,0,0.350646,1631,0.0171118,1631,0.0094819,1631,0.323927,1631,0.259996,1311,0.0002567,1311,0.0055816,169,0.0006611,165,0.253325,1311,0.0032869,1311,0.0017042,1283,0.0047659,6,0.0002106,18,0.0004699,1305,0.009669,1311,0.0118747,1311,0.000404,1311,0.0006547,1311,0.219552,1311,0.0186373,1311,0.0202835,1311,0.177647,1283,1018502,1311
969.5,1,20,12.5507,7.16955,2.31826,0.560306,8,8.97222,0.208095,0.231406,0.00333929,0.00269245,8.96516,0,98,15,0,262,0,0,0,0,0,0.409372,1831,0.0177312,1831,0.0106466,1831,0.380857,1831,0.306771,1511,0.0002929,1511,0.0060048,193,0.0007378,190,0.29954,1511,0.0037467,1511,0.001971,1483,0.0047659,6,0.0002106,18,0.0005404,1505,0.010421,1511,0.0136645,1511,0.0004667,1511,0.00068,1511,0.262223,1511,0.022428,1511,0.0234202,1511,0.212753,1483,1216102,1511
1069.5,1,0,8.78549,7.49274,2.83571,0.588924,9,4.46721,0.372858,0.106805,0.00378576,0.00287338,7.87714,0,66,10,0,262,0,0,0,0,0,0.467571,2031,0.0185056,2031,0.0117676,2031,0.437151,2031,0.353202,1711,0.000329,1711,0.0063833,215,0.0008097,215,0.345459,1711,0.0041377,1711,0.0022292,1683,0.0047659,6,0.0006795,21,0.0006127,1705,0.0111923,1711,0.0153183,1711,0.0005246,1711,0.0007125,1711,0.304321,1711,0.0261296,1711,0.0265771,1711,0.24739,1683,1413702,1711
1169.5,1,0,6.14984,7.22416,3.27456,0.655476,8,4.34428,0.221112,0.0982004,0.00386242,0.0031591,7.84947,0,39,6,0,262,0,0,0,0,0,0.525764,2231,0.0190462,2231,0.0129149,2231,0.493644,2231,0.399915,1911,0.0003649,1911,0.0067719,238,0.0008768,240,0.391653,1911,0.0045294,1911,0.0024983,1883,0.0047659,6,0.0007465,23,0.0006865,1905,0.0119522,1911,0.0169439,1911,0.0005858,1911,0.0007434,1911,0.347128,1911,0.0298805,1911,0.0297705,1911,0.282633,1883,1611302,1911
