time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
248.5,0,0,0,0,0,0.0365906,39,0,0,0,0,0,0,0,1574,0,0,232,0,0,0,0,0,0.0155292,423,0.0128655,423,0.002433,423,0.0002084,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348.5,1,144,43.2,8.64,0.864,0.277969,0,0,0,0,0,0,0,0,1575,0,0,232,0,0,3,0,0,0.0339625,623,0.0134366,623,0.003889,623,0.0165926,623,0,0,9.9e-06,128,0.0005911,14,7.74e-05,17,0.0003184,128,4.58e-05,128,0.0001176,125,0.0001022,2,0,0,5.94e-05,126,0.0007354,128,0.0009185,128,4.18e-05,128,2.69e-05,128,0.0032514,128,0,0,0.0028231,128,0.0003566,125,12273,128
448.5,1,37,41.34,15.18,2.2956,0.250191,0,0,0,0,0,0,0,0,1577,0,0,232,0,0,0,0,0,0.0588136,823,0.0135677,823,0.005126,823,0.0400644,823,0,0,2.3e-05,328,0.0008343,27,0.0001847,42,0.0008247,328,0.0001089,328,0.0002918,325,0.0001022,2,0,0,0.0001525,326,0.0009689,328,0.0022879,328,0.0001011,328,4.56e-05,328,0.0085383,328,0,0,0.0074535,328,0.0009087,325,31881,328
548.5,1,38,40.338,20.2116,4.0872,0.243668,0,0,0,0,0,0,0,0,1577,0,0,232,0,0,0,0,0,0.0828198,1023,0.0137241,1023,0.0063159,1023,0.0627143,1023,0,0,3.62e-05,528,0.0010538,39,0.0002984,67,0.0013297,528,0.0001804,528,0.0004846,525,0.0001022,2,0,0,0.000266,526,0.0012236,528,0.0036037,528,0.0001542,528,6.12e-05,528,0.0133579,528,0,0,0.0116384,528,0.0014415,525,51489,528
648.5,1,30,37.2366,23.6166,6.04014,0.252075,0,0,0,0,0,0,0,0,1577,0,0,232,0,0,0,0,0,0.108386,1223,0.0139172,1223,0.0076075,1223,0.0867858,1223,0,0,4.91e-05,728,0.001293,52,0.0004119,92,0.0018774,728,0.000257,728,0.0007086,725,0.0001022,2,0,0,0.0003644,726,0.0014071,728,0.0050509,728,0.0002488,728,8.03e-05,728,0.0184416,728,0,0,0.0160521,728,0.0020004,725,71094,728
748.5,1,25,33.5656,25.6064,7.99677,0.24353,0,0,0,0,0,0,0,0,1575,0,0,232,0,0,0,0,0,0.134324,1423,0.0140926,1423,0.008887,1423,0.111258,1423,0,0,6.22e-05,928,0.0015107,64,0.0005493,117,0.0024148,928,0.0003314,928,0.0009345,925,0.0001022,2,0,0,0.0004632,926,0.001743,928,0.0063829,928,0.0003037,928,0.0001046,928,0.0235008,928,0,0,0.0204568,928,0.0025531,925,90706,928
848.5,1,10,26.4959,25.7843,9.77552,0.241069,0,0,0,0,0,0,0,0,1575,0,0,232,0,0,0,0,0,0.158018,1623,0.0142361,1623,0.0100783,1623,0.133607,1623,0,0,7.54e-05,1128,0.0018593,77,0.0006663,142,0.002908,1128,0.0004037,1128,0.0011602,1125,0.0001022,2,0,0,0.0005508,1126,0.0019634,1128,0.007716,1128,0.0003586,1128,0.0001224,1128,0.028432,1128,0,0,0.0246927,1128,0.0031458,1125,110314,1128
948.5,1,0,18.5472,24.3369,11.2317,0.226094,0,0,0,0,0,0,0,0,1575,0,0,232,0,0,0,0,0,0.180954,1823,0.0143724,1823,0.0113286,1823,0.155147,1823,0,0,8.9e-05,1328,0.0020753,89,0.0007554,167,0.0034087,1328,0.0004765,1328,0.0014114,1325,0.0001022,2,0,0,0.0006333,1326,0.0021781,1328,0.009075,1328,0.0004242,1328,0.0001419,1328,0.0333126,1328,0,0,0.0289525,1328,0.0036649,1325,129922,1328
1048.5,1,6,14.783,22.4261,12.3511,0.249327,11,9.03184,0.13707,0.249742,0.00334653,0.00268787,5.4352,0,89,12,0,232,0,0,0,0,0,0.205116,2023,0.0150609,2023,0.0125043,2023,0.177433,2023,0,0,0.0001023,1528,0.0024546,105,0.0008509,192,0.0038386,1528,0.0005549,1528,0.0016106,1525,0.0001022,2,0,0,0.0007064,1526,0.0024905,1528,0.0103572,1528,0.0004783,1528,0.0001636,1528,0.0382771,1528,0,0,0.0332923,1528,0.0041916,1525,149601,1528
1148.5,1,0,10.3481,20.0105,13.117,0.239733,25,5.44002,0.31273,0.15429,0.00356234,0.00290816,4.61884,0,64,11,0,232,0,0,0,0,0,0.229708,2223,0.0156092,2223,0.0139337,2223,0.200037,2223,0,0,0.0001858,1728,0.0026747,117,0.0009366,217,0.004263,1728,0.0006247,1728,0.0018335,1725,0.0001022,2,0,0,0.0007773,1726,0.0027317,1728,0.0116549,1728,0.0005347,1728,0.0001824,1728,0.0430963,1728,0,0,0.03753,1728,0.0046743,1725,169210,1728
