time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
394.5,0,0,0,0,0,0.0608368,94,0,0,0,0,0,0,0,3364,0,0,287,0,0,0,0,0,0.025539,687,0.0213048,687,0.0037811,687,0.0003417,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.5,1,3247,974.1,194.82,19.482,0.263596,0,0,0,0,0,0,0,0,3343,0,0,287,0,0,3,0,0,0.0435673,887,0.0227198,887,0.0049666,887,0.0157572,887,0,0,1.26e-05,180,0.0008497,16,9.4e-05,23,0.0003267,180,5.28e-05,180,0.0001065,119,0.000121,2,0,0,9e-05,178,0.0004567,180,0.000828,180,7.01e-05,180,2.36e-05,180,0.0034623,180,0,0,0.0030374,180,0.000329,119,13481,180
594.5,1,168,732.27,302.31,47.7648,0.299721,0,0,0,0,0,0,0,0,3343,0,0,287,0,0,0,0,0,0.0724444,1087,0.0230336,1087,0.0061607,1087,0.0431152,1087,0,0,2.55e-05,380,0.002573,38,0.0002032,48,0.0008226,380,0.0001149,380,0.0002857,319,0.000121,2,0,0,0.0001897,378,0.0008538,380,0.0022247,380,0.0001332,380,4.7e-05,380,0.0110833,380,0,0,0.0099487,380,0.0008886,319,50603,380
694.5,1,18,517.989,345.446,77.5329,0.295181,0,0,0,0,0,0,0,0,3343,0,0,287,0,0,0,0,0,0.102934,1287,0.023366,1287,0.0072902,1287,0.0721323,1287,0,0,3.89e-05,580,0.0035376,56,0.0003166,73,0.0013297,580,0.0001829,580,0.0004682,519,0.000121,2,0,0,0.0002912,578,0.00101,580,0.0035622,580,0.0001923,580,6.59e-05,580,0.0213163,580,0,0,0.0194652,580,0.0014292,519,108403,580
794.5,2,24,369.792,350.315,104.811,0.539551,0,0,0,0,0,0,0,0,3343,0,0,287,0,0,3,0,0,0.149017,1487,0.0236695,1487,0.0084181,1487,0.116774,1487,0,0,6.3e-05,927,0.005126,87,0.0006718,117,0.0019363,927,0.0003715,927,0.0007918,799,0.0002782,3,0,0,0.0004832,924,0.0014971,927,0.0091168,927,0.0003036,927,0.0001014,927,0.0333626,927,0,0,0.0306,927,0.0020987,799,175435,927
894.5,2,0,258.855,332.023,127.532,0.509938,0,0,0,0,0,0,0,0,3343,0,0,287,0,0,0,0,0,0.20067,1687,0.023834,1687,0.0095585,1687,0.167109,1687,0,0,9.05e-05,1327,0.0061461,116,0.0008323,167,0.0024736,1327,0.0006198,1327,0.0012058,1199,0.0003394,4,0,0,0.0006799,1323,0.0017219,1327,0.0219415,1327,0.0004121,1327,0.0001398,1327,0.0473985,1327,0,0,0.043595,1327,0.0028727,1199,256235,1327
994.5,2,0,181.198,301.858,144.965,0.549538,0,0,0,0,0,0,0,0,3343,0,0,287,0,0,0,0,0,0.252226,1887,0.0239963,1887,0.0106734,1887,0.217376,1887,0,0,0.0001173,1727,0.007405,151,0.0009917,217,0.0030083,1727,0.0008728,1727,0.0016289,1599,0.0003394,4,0,0,0.0008746,1723,0.0023329,1727,0.0342877,1727,0.0005216,1727,0.0001777,1727,0.0614058,1727,0,0,0.0565755,1727,0.0036299,1599,337035,1727
1094.5,2,7,128.939,267.274,157.196,0.802601,223,21.4091,0.175368,1.49288,0.00374157,0.00348492,5.79622,0,225,18,0,287,0,0,0,0,0,0.32151,2087,0.0249786,2087,0.0118083,2087,0.284531,2087,0,0,0.0001458,2127,0.0094529,206,0.0012901,267,0.0036464,2127,0.0011071,2127,0.002046,1999,0.0024206,5,0,0,0.0010409,2121,0.0063051,2127,0.0462414,2127,0.0006371,2127,0.0002449,2127,0.084464,2127,0,0,0.0700264,2127,0.0129159,1999,446172,2127
1194.5,2,1,90.5571,231.931,164.669,0.900241,9,17.3404,0.437632,1.25999,0.00376025,0.00372581,4.41791,0,176,16,0,287,0,0,0,0,0,0.412308,2287,0.0257558,2287,0.0129984,2287,0.373348,2287,0,0,0.0001824,2527,0.011556,279,0.0014838,317,0.0043467,2527,0.001334,2527,0.0024975,2399,0.0043945,6,0.0003916,6,0.0011951,2513,0.0144569,2527,0.058791,2527,0.0007466,2527,0.0008632,2527,0.149717,2527,0,0,0.085899,2527,0.0615721,2399,741283,2527
1294.5,2,0,63.39,198.223,168.025,1.5756,9,15.5614,0.372393,1.07922,0.00360775,0.00350094,5.38975,0,156,12,0,287,0,0,0,0,0,0.544992,2487,0.0264418,2487,0.0141492,2487,0.504182,2487,0,0,0.0002089,2927,0.0130407,342,0.0017892,367,0.0049159,2927,0.0015711,2926,0.002974,2798,0.0141608,26,0.001153,15,0.001357,2892,0.0362282,2926,0.0706149,2926,0.0008736,2926,0.0036413,2926,0.247009,2926,0,0,0.108711,2926,0.135139,2798,1157195,2927
