time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
219.5,0,0,0,0,0,0.040329,35,0,0,0,0,0,0,0,1575,0,0,205,0,0,0,0,0,0.0146403,364,0.0123491,364,0.0021575,364,8.15e-005,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319.5,1,785,235.5,47.1,4.71,0.166237,0,0,0,0,0,0,0,0,1575,0,0,205,0,0,3,0,0,0.0281285,564,0.0128615,564,0.0034969,564,0.0117035,564,0.0059256,188,3.74e-005,188,0.0006575,17,8.44e-005,24,0.0051087,188,0.0003662,188,0.0001373,130,8.88e-005,2,0,0,7.55e-005,186,0.0001805,188,0.0012603,188,7.13e-005,188,2.49e-005,188,0.0028016,188,0.0002091,188,0.002163,188,0.0003282,130,13818,188
419.5,1,24,172.05,72.09,11.448,0.188835,0,0,0,0,0,0,0,0,1575,0,0,205,0,0,0,0,0,0.0469141,764,0.0129707,764,0.0047527,764,0.0291127,764,0.013376,388,7.5e-005,388,0.0008573,29,0.0001753,49,0.0122019,388,0.0008841,388,0.0003528,330,8.88e-005,2,0,0,0.0001484,386,0.0002867,388,0.0031107,388,0.0001331,388,5.42e-005,388,0.0069329,388,0.0004791,388,0.0054286,388,0.0008165,330,35018,388
519.5,1,9,123.135,82.299,18.5331,0.186111,0,0,0,0,0,0,0,0,1575,0,0,205,0,0,0,0,0,0.0658053,964,0.0130983,964,0.0059353,964,0.0466824,964,0.020868,588,0.0001116,588,0.0013259,50,0.0002608,74,0.0190798,588,0.0014002,588,0.0005827,530,8.88e-005,2,0,0,0.0002203,586,0.0004408,588,0.0048937,588,0.0001945,588,7.78e-005,588,0.0108616,588,0.000737,588,0.0085139,588,0.0012986,530,56218,588
619.5,1,4,87.3945,83.3181,25.0116,1.42294,0,0,0,0,0,0,0,0,1575,0,0,205,0,0,0,0,0,0.176165,1164,0.0133806,1164,0.0071783,1164,0.155506,1164,0.122685,788,0.0001501,788,0.0090899,181,0.0004193,99,0.112912,788,0.0019293,788,0.00082,730,0.020177,25,0,0,0.0002855,763,0.0263339,788,0.0064974,788,0.0002872,788,0.0021746,788,0.0539831,788,0.0061447,788,0.0117184,788,0.0355939,730,235401,788
719.5,1,4,62.3761,79.1297,30.4234,0.679329,0,0,0,0,0,0,0,0,1575,0,0,205,0,0,0,0,0,0.25205,1364,0.0135681,1364,0.0084172,1364,0.229954,1364,0.187376,988,0.0002031,988,0.0118352,235,0.0005596,124,0.174643,988,0.0024507,988,0.0010757,930,0.0218899,28,1.47e-005,2,0.0003547,960,0.0316062,988,0.0084243,988,0.0003495,988,0.0026482,988,0.10529,988,0.0150699,988,0.015227,988,0.0737431,930,451601,988
819.5,1,12,47.2633,72.7564,34.6567,0.666756,0,0,0,0,0,0,0,0,1575,0,0,205,0,0,0,0,0,0.320001,1564,0.0137278,1564,0.0096553,1564,0.296495,1564,0.243645,1188,0.0002403,1188,0.0135047,286,0.0006727,149,0.22907,1188,0.0029803,1188,0.001301,1130,0.0218899,28,3.02e-005,6,0.0004251,1160,0.0344432,1188,0.0101253,1188,0.000416,1188,0.0028555,1188,0.153934,1188,0.0240492,1188,0.018462,1188,0.109436,1130,660071,1188
919.5,1,28,41.4843,66.502,37.8412,0.834476,23,18.3459,0.00664096,0.0576288,0.00192465,0.00133202,8.97,0,71,10,0,205,0,0,0,0,0,0.392612,1764,0.0144182,1764,0.0108702,1764,0.367189,1764,0.304513,1388,0.0002853,1388,0.015482,340,0.0008097,174,0.287755,1388,0.0034345,1388,0.0015108,1330,0.0226522,29,0.0024175,22,0.00049,1353,0.0393074,1388,0.0115704,1388,0.0004754,1388,0.0029979,1388,0.202129,1388,0.0330224,1388,0.0218555,1388,0.144536,1330,866490,1388
1019.5,1,0,29.039,59.0094,39.9581,0.609964,41,4.13895,0.200824,0.112115,0.00327572,0.002624,8.26616,0,32,7,0,205,0,0,0,0,0,0.461934,1964,0.0152009,1964,0.012137,1964,0.434449,1964,0.361825,1588,0.00034,1588,0.0165606,369,0.0008996,199,0.343815,1588,0.00384,1588,0.0017267,1530,0.0229484,30,0.0024175,22,0.000558,1544,0.0414035,1588,0.0131964,1588,0.0005388,1588,0.0030858,1588,0.253227,1588,0.0425798,1588,0.0256862,1588,0.181368,1530,1075056,1588
1119.5,1,1,20.6273,51.333,41.0955,0.674923,44,2.43355,0.138318,0.0561694,0.00313563,0.00261554,8.90845,0,23,4,0,205,0,0,0,0,0,0.531147,2164,0.0159241,2164,0.0134279,2164,0.501637,2164,0.418918,1788,0.0003751,1788,0.0172439,395,0.0009623,224,0.4001,1788,0.0042402,1788,0.0019406,1730,0.0229484,30,0.0030326,26,0.0006472,1744,0.0433375,1788,0.0149372,1788,0.000604,1788,0.0033436,1788,0.304086,1788,0.0523096,1788,0.0292566,1788,0.218064,1730,1282444,1788
