time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
230,0,0,0,0,0,0.0678101,15,0,0,0,0,0,0,0,2728,0,0,221,0,0,0,0,0,0.0136894,365,0.0116788,365,0.0018843,365,7.56e-005,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1,385,115.5,23.1,2.31,0.166466,0,0,0,0,0,0,0,0,2709,0,0,221,0,0,3,0,0,0.0271097,565,0.0122934,565,0.0031084,565,0.0116444,565,0.0057392,185,3.44e-005,185,0.0008396,17,8.19e-005,24,0.0047536,185,0.0004346,185,0.0001434,130,0.00015,2,0,0,6.62e-005,183,0.0002481,185,0.0012125,185,6.66e-005,185,2.75e-005,185,0.002313,185,0.0002334,185,0.001637,185,0.000343,130,13816,185
430,1,19,86.55,35.79,5.658,0.1679,0,0,0,0,0,0,0,0,2709,0,0,221,0,0,0,0,0,0.0441892,765,0.012449,765,0.0041661,765,0.0275002,765,0.0119848,385,6.75e-005,385,0.0012201,35,0.0001621,49,0.0104802,385,0.0009246,385,0.0003463,330,0.00015,2,0,0,0.0001296,383,0.0004555,385,0.0027784,385,0.0001227,385,5.4e-005,385,0.0053304,385,0.0005062,385,0.0038134,385,0.0008148,330,35016,385
530,1,18,65.985,41.829,9.2751,1.16599,0,0,0,0,0,0,0,0,2709,0,0,221,0,0,0,0,0,0.112701,965,0.0127057,965,0.0052069,965,0.0947048,965,0.0714681,585,0.0001054,585,0.0060981,122,0.0002794,74,0.0649077,585,0.0013965,585,0.0005701,530,0.0125256,15,0,0,0.0001949,570,0.0149405,585,0.0042817,585,0.0001763,585,0.0011188,585,0.0294188,585,0.0028341,585,0.0062295,585,0.0200085,530,143951,585
630,1,11,49.4895,43.3611,12.6837,1.1474,0,0,0,0,0,0,0,0,2709,0,0,221,0,0,0,0,0,0.210672,1165,0.0130947,1165,0.0062888,1165,0.191194,1165,0.160273,785,0.0001479,785,0.0107537,207,0.0003945,99,0.148879,785,0.0018821,785,0.0008129,730,0.0230706,27,0.0005039,4,0.0002574,754,0.0320668,785,0.0058136,785,0.0002596,785,0.0023475,785,0.0814814,785,0.011655,785,0.0094128,785,0.0595206,730,364604,785
730,1,14,38.8426,42.4574,15.6611,0.59549,0,0,0,0,0,0,0,0,2709,0,0,221,0,0,0,0,0,0.286111,1365,0.0133194,1365,0.0073504,1365,0.265337,1365,0.225403,985,0.0002167,985,0.0140312,276,0.0005108,124,0.210527,985,0.00239,985,0.0010821,930,0.0289137,35,0.0005112,6,0.0003235,943,0.0400687,985,0.0073876,985,0.0003433,985,0.0028669,985,0.12614,985,0.020767,985,0.0124523,985,0.0914687,930,549952,985
830,1,16,31.9899,40.3639,18.1314,0.574463,0,0,0,0,0,0,0,0,2709,0,0,221,0,0,0,0,0,0.344103,1565,0.0134936,1565,0.0083903,1565,0.322104,1565,0.272569,1185,0.0002534,1185,0.0142366,288,0.0005918,149,0.257349,1185,0.0029091,1185,0.0013524,1130,0.0289137,35,0.0005112,6,0.0003933,1143,0.0406424,1185,0.0090639,1185,0.0004033,1185,0.0028859,1185,0.169667,1185,0.0298733,1185,0.0157122,1185,0.121856,1130,734152,1185
930,1,0,22.3929,36.7697,19.9952,0.627952,0,0,0,0,0,0,0,0,2709,0,0,221,0,0,0,0,0,0.404757,1765,0.0136321,1765,0.0095499,1765,0.38145,1765,0.322722,1385,0.0002901,1385,0.0148335,309,0.000662,174,0.306774,1385,0.0033688,1385,0.0016416,1330,0.0289137,35,0.0005112,6,0.0004652,1343,0.0425867,1385,0.0104961,1385,0.0004586,1385,0.0030471,1385,0.214572,1385,0.0389046,1385,0.0194062,1385,0.153248,1330,911416,1385
1030,1,3,16.575,32.7308,21.2687,0.649494,13,22.1615,0.0962119,0.666359,0.00247072,0.00185594,8.11087,0,228,19,0,221,0,0,0,0,0,0.469579,1965,0.0140408,1965,0.010652,1965,0.444748,1965,0.377045,1585,0.0003261,1585,0.0161273,342,0.0007768,199,0.359629,1585,0.0037637,1585,0.0019061,1530,0.0300976,36,0.000541,8,0.0005308,1529,0.0468028,1585,0.0119748,1585,0.0005141,1585,0.0035689,1585,0.259118,1585,0.0478004,1585,0.0229548,1585,0.184591,1530,1091105,1585
1130,1,0,11.6025,28.5051,21.9924,0.629002,13,14.2549,0.272544,1.06764,0.00321507,0.00282883,7.78867,0,183,17,0,221,0,0,0,0,0,0.529823,2165,0.0148109,2165,0.0116598,2165,0.503205,2165,0.426343,1785,0.0003877,1785,0.0168334,369,0.0008506,224,0.408065,1785,0.0040723,1785,0.0021216,1730,0.0300976,36,0.000541,8,0.0005652,1632,0.0528041,1785,0.0130829,1785,0.0005645,1785,0.0038419,1785,0.299481,1785,0.0560726,1785,0.0262954,1785,0.212662,1730,1261834,1785
