time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
210.5,0,0,0,0,0,0.0344238,69,0,0,0,0,0,0,0,1573,0,0,207,0,0,0,0,0,0.01131,330,0.0095375,330,0.0016593,330,7e-005,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310.5,1,331,99.3,19.86,1.986,0.166916,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,3,0,0,0.0248164,530,0.0100456,530,0.0028354,530,0.0118793,530,0.0061418,185,3.16e-005,185,0.0008465,16,8.15e-005,24,0.0051477,185,0.0003871,185,0.0001369,134,9.13e-005,2,0,0,6.21e-005,183,0.0001875,185,0.0012552,185,6.19e-005,185,2.75e-005,185,0.0028486,185,0.0002058,185,0.0022043,185,0.0003363,134,14240,185
410.5,1,20,75.51,30.99,4.8864,0.189087,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,0,0,0,0.0430417,730,0.0101548,730,0.0039315,730,0.0288898,730,0.0133537,385,6.68e-005,385,0.0010792,29,0.0001661,49,0.0119782,385,0.0009049,385,0.0003431,334,9.13e-005,2,0,0,0.0001312,383,0.0002898,385,0.0029818,385,0.0001165,385,5.66e-005,385,0.0068704,385,0.0004757,385,0.0053719,385,0.0008124,334,35440,385
510.5,1,24,60.057,36.8034,8.0781,0.182129,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,0,0,0,0.0612671,930,0.0102818,930,0.0050027,930,0.0459066,930,0.0205501,585,0.0001047,585,0.0012872,41,0.0002495,74,0.0188238,585,0.001434,585,0.0005603,534,9.13e-005,2,0,0,0.0001959,583,0.0003967,585,0.0047061,585,0.0001741,585,7.75e-005,585,0.0108957,585,0.0007355,585,0.0085385,585,0.0013089,534,56640,585
610.5,1,22,48.6399,39.1707,11.1874,0.189125,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,0,0,0,0.079568,1130,0.0104055,1130,0.0061042,1130,0.0629721,1130,0.0278649,785,0.0001403,785,0.0016489,58,0.0003329,99,0.025636,785,0.0019705,785,0.0007855,734,9.13e-005,2,0,0,0.0002617,783,0.0005227,785,0.0064201,785,0.0002308,785,9.89e-005,785,0.0148625,785,0.0009954,785,0.0116607,785,0.0017932,734,77840,785
710.5,1,10,37.0479,38.7461,13.9432,0.591866,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,0,0,0,0.16107,1330,0.0106214,1330,0.0071629,1330,0.143189,1330,0.100161,985,0.0001918,985,0.0065333,143,0.0004735,124,0.0928338,985,0.0024485,985,0.0010508,934,0.0118367,14,0,0,0.0003251,971,0.0142701,985,0.0081022,985,0.0002908,985,0.0011058,985,0.0529141,985,0.0049036,985,0.0146838,985,0.0325683,934,258834,985
810.5,1,11,29.2336,36.8436,16.2333,0.58252,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,0,0,0,0.217693,1530,0.0107833,1530,0.0082451,1530,0.198558,1530,0.146372,1185,0.0002292,1185,0.0079373,182,0.0005804,149,0.137474,1185,0.0029,1185,0.0013357,1134,0.0127133,15,7e-006,2,0.000387,1170,0.0167006,1185,0.0097142,1185,0.0003505,1185,0.0012524,1185,0.0915063,1185,0.0110205,1185,0.0179414,1185,0.0611822,1134,433001,1185
910.5,1,0,20.4635,33.5676,17.9667,0.63647,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,0,0,0,0.276496,1730,0.010914,1730,0.0095251,1730,0.255939,1730,0.194521,1385,0.0002673,1385,0.0085805,206,0.0006674,174,0.184827,1385,0.0033584,1385,0.0016405,1334,0.0136259,16,7e-006,2,0.0004515,1369,0.0181679,1385,0.0113496,1385,0.0004145,1385,0.0013567,1385,0.133729,1385,0.01761,1385,0.0217535,1385,0.092239,1334,605797,1385
1010.5,1,0,14.3244,29.719,19.1419,0.557547,0,0,0,0,0,0,0,0,1574,0,0,207,0,0,0,0,0,0.333415,1930,0.0110492,1930,0.0105755,1930,0.311662,1930,0.241489,1585,0.0003016,1585,0.0094804,236,0.0007749,199,0.23073,1585,0.0037571,1585,0.0019176,1534,0.0146964,18,7e-006,2,0.0005125,1567,0.0200377,1585,0.0127085,1585,0.0004693,1585,0.0016583,1585,0.17413,1585,0.0244058,1585,0.0252281,1585,0.12171,1534,788771,1585
1110.5,1,4,11.2271,26.0206,19.8298,0.616827,21,5.2022,0.145376,0.164899,0.00292148,0.00234472,6.92217,0,62,12,0,207,0,0,0,0,0,0.389927,2130,0.0116143,2130,0.0115915,2130,0.366581,2130,0.28746,1785,0.000351,1785,0.0100321,257,0.000859,224,0.27599,1785,0.0040745,1785,0.0021267,1734,0.0154464,20,5.61e-005,4,0.0005485,1679,0.0250207,1785,0.0137909,1785,0.000524,1785,0.0017629,1785,0.211702,1785,0.0310068,1785,0.0284881,1785,0.148792,1734,963261,1785
