time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
228,0,0,0,0,0,0.0647583,38,0,0,0,0,0,0,0,2750,0,0,209,0,0,0,0,0,0.0134221,359,0.0113702,359,0.0019249,359,7.79e-005,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,1,111,33.3,6.66,0.666,0.169907,0,0,0,0,0,0,0,0,2729,0,0,209,0,0,3,0,0,0.0274649,559,0.0119569,559,0.0031762,559,0.012271,559,0.0060089,190,3.34e-005,190,0.0006607,15,7.98e-005,24,0.0052001,190,0.0003869,190,0.0001453,140,8.57e-005,2,0,0,6.93e-005,188,0.0002487,190,0.0012845,190,6.65e-005,190,2.68e-005,190,0.002789,190,0.0002213,190,0.0020744,190,0.0003876,140,14878,190
428,1,191,80.61,21.45,2.7444,0.192337,0,0,0,0,0,0,0,0,2729,0,0,209,0,0,0,0,0,0.0479094,759,0.0121223,759,0.0043145,759,0.0313992,759,0.015352,390,7.16e-005,390,0.0016039,33,0.0001605,49,0.0134557,390,0.0008794,390,0.0003534,340,8.57e-005,2,0,0,0.0001392,388,0.0009927,390,0.0029111,390,0.0001244,390,5.41e-005,390,0.0076939,390,0.0005611,390,0.0059636,390,0.0009414,340,49362,390
528,1,20,62.427,29.6454,5.4345,0.196671,0,0,0,0,0,0,0,0,2729,0,0,209,0,0,0,0,0,0.0673004,959,0.012298,959,0.0053715,959,0.0495463,959,0.0237693,590,0.0001074,590,0.0019446,45,0.0002419,74,0.0213928,590,0.0013664,590,0.0005864,540,8.57e-005,2,0,0,0.0002125,588,0.0012287,590,0.0045936,590,0.0001775,590,8.5e-005,590,0.0127271,590,0.0009239,590,0.0100004,590,0.0014496,540,86962,590
628,1,27,51.7989,34.0761,8.29866,0.183001,0,0,0,0,0,0,0,0,2729,0,0,209,0,0,0,0,0,0.086024,1159,0.0124688,1159,0.0063708,1159,0.0670898,1159,0.0319439,790,0.0001432,790,0.0023054,58,0.0003215,99,0.0290757,790,0.0018493,790,0.0008105,740,8.57e-005,2,0,0,0.0002803,788,0.0014629,790,0.006222,790,0.000228,790,0.0001127,790,0.017591,790,0.0012747,790,0.013891,790,0.0019488,740,124562,790
728,1,0,36.2592,34.5127,10.9201,0.186526,0,0,0,0,0,0,0,0,2729,0,0,209,0,0,0,0,0,0.104438,1359,0.0125961,1359,0.0074271,1359,0.0843094,1359,0.0401628,990,0.000179,990,0.002727,72,0.000382,124,0.0367543,990,0.0022744,990,0.0010345,940,8.57e-005,2,0,0,0.0003461,988,0.0016864,990,0.0075794,990,0.0002767,990,0.0001377,990,0.0228024,990,0.0016169,990,0.0181449,990,0.0024401,940,162162,990
828,1,3,26.2815,32.8665,13.1147,0.60965,23,32.6995,0.00633598,0.0936641,0.00121613,0.000983963,8.55771,0,404,19,0,209,0,0,0,0,0,0.13307,1559,0.0128196,1559,0.0085379,1559,0.111596,1559,0.0582887,1190,0.000214,1190,0.0039567,97,0.000454,149,0.0535198,1190,0.0027015,1190,0.0012691,1140,0.0028341,3,3.97e-005,2,0.0004144,1185,0.0040551,1190,0.0090306,1190,0.0003321,1190,0.0001758,1190,0.0319797,1190,0.0022063,1190,0.0217597,1190,0.0072533,1140,214386,1190
928,1,0,18.397,29.9726,14.8005,0.650955,19,14.3266,0.270808,1.16628,0.00334902,0.00298706,6.84154,0,197,16,0,209,0,0,0,0,0,0.197602,1759,0.0135743,1759,0.0096404,1759,0.17426,1759,0.112211,1390,0.0002576,1390,0.0067264,159,0.0005648,174,0.104497,1390,0.0030287,1390,0.001503,1340,0.0044183,5,8.23e-005,3,0.0004756,1381,0.0099461,1390,0.0107615,1390,0.0003873,1390,0.0006102,1390,0.0724643,1390,0.0054609,1390,0.0255106,1390,0.0403122,1340,425798,1390
1028,1,1,13.1779,26.6137,15.9818,0.686424,19,13.9645,0.421583,0.990173,0.00365306,0.00311245,7.53937,0,167,13,0,209,0,0,0,0,0,0.262276,1959,0.0140969,1959,0.0107045,1959,0.237338,1959,0.165787,1590,0.0002932,1590,0.0074685,177,0.000643,199,0.157194,1590,0.0033844,1590,0.0017428,1540,0.0053718,6,9.15e-005,4,0.0005422,1580,0.0121622,1590,0.0122405,1590,0.0004434,1590,0.0006711,1590,0.119583,1590,0.0106282,1590,0.0297887,1590,0.0772903,1540,661266,1590
1128,1,0,9.22454,23.1358,16.6972,0.621429,19,12.5921,0.381534,0.875641,0.00324071,0.00303657,7.4296,0,165,13,0,209,0,0,0,0,0,0.326715,2159,0.0146673,2159,0.0117785,2159,0.300121,2159,0.219265,1790,0.0003297,1790,0.0085483,208,0.0007256,224,0.20945,1790,0.0037352,1790,0.0019785,1740,0.0053718,6,0.0006614,11,0.0006071,1780,0.0146321,1790,0.0139729,1790,0.0005019,1790,0.0007579,1790,0.166122,1790,0.015802,1790,0.0339713,1790,0.113814,1740,891590,1790
