time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
218,1,0,0,0,0,0.30542,93,0,0,0,0,0,0,0,1575,0,0,202,0,0,3,0,0,0.0232453,348,0.0111931,348,0.0018671,348,0.0101463,348,0.0054598,110,2.04e-005,110,0.0014439,15,6.27e-005,15,0.003917,110,0.0002315,110,0.0001162,97,7.83e-005,2,0.0001257,12,3.61e-005,108,0.0002903,110,0.0008277,110,3.36e-005,110,1.88e-005,110,0.0021056,110,0.0001336,110,0.0016697,110,0.0002462,97,11132,110
318,1,5,1.5,0.3,0.03,0.206566,0,0,0,0,0,0,0,0,1575,0,0,202,0,0,0,0,0,0.0445679,548,0.0117065,548,0.0029174,548,0.0298938,548,0.0156791,310,5.82e-005,310,0.0021229,32,0.0001429,40,0.0133152,310,0.000693,310,0.0003213,297,7.83e-005,2,0.0001257,12,0.0001016,308,0.000425,310,0.0024979,310,8.54e-005,310,4.5e-005,310,0.0087868,310,0.0005852,310,0.0072811,310,0.0007342,297,48742,310
418,1,14,5.25,1.29,0.156,0.205048,0,0,0,0,0,0,0,0,1575,0,0,202,0,0,0,0,0,0.0656884,748,0.0118385,748,0.0039718,748,0.0498179,748,0.0259488,510,9.6e-005,510,0.0026474,47,0.0002252,65,0.0229178,510,0.0012021,510,0.0005507,497,7.83e-005,2,0.0001257,12,0.0001674,508,0.0006095,510,0.0041706,510,0.0001391,510,7.22e-005,510,0.0155456,510,0.0010477,510,0.0129421,510,0.0012373,497,86342,510
518,1,12,7.275,2.487,0.3891,0.215439,0,0,0,0,0,0,0,0,1575,0,0,202,0,0,0,0,0,0.0868911,948,0.0119658,948,0.0050137,948,0.0698401,948,0.0362676,710,0.0001328,710,0.0032567,64,0.0003096,90,0.0324859,710,0.0017011,710,0.0007784,697,7.83e-005,2,0.0001257,12,0.0002334,708,0.000796,710,0.0058809,710,0.0001926,710,0.0001003,710,0.0222407,710,0.0015037,710,0.0185552,710,0.0017313,697,123942,710
618,1,30,14.0925,4.8081,0.831,0.211601,0,0,0,0,0,0,0,0,1575,0,0,202,0,0,0,0,0,0.108181,1148,0.0120938,1148,0.0060652,1148,0.0899398,1148,0.0466378,910,0.0001701,910,0.0038633,78,0.0003932,115,0.0421101,910,0.0022276,910,0.0009955,897,7.83e-005,2,0.0001257,12,0.0003022,908,0.000914,910,0.0075362,910,0.0002468,910,0.000132,910,0.0290906,910,0.0019663,910,0.0243043,910,0.0022339,897,161542,910
718,1,6,11.6648,6.17943,1.36584,0.228922,0,0,0,0,0,0,0,0,1575,0,0,202,0,0,0,0,0,0.12976,1348,0.0122711,1348,0.007196,1348,0.1102,1348,0.0573982,1110,0.0002065,1110,0.0046316,95,0.0004604,140,0.0519717,1110,0.0027308,1110,0.0012521,1097,7.83e-005,2,0.0001257,12,0.0003719,1108,0.0010419,1110,0.0090793,1110,0.0003029,1110,0.0001643,1110,0.0362588,1110,0.0024502,1110,0.0303522,1110,0.0027331,1097,199142,1110
818,1,0,8.16533,6.57661,1.88692,0.206283,0,0,0,0,0,0,0,0,1575,0,0,202,0,0,0,0,0,0.150653,1548,0.0123951,1548,0.0082935,1548,0.12986,1548,0.0677684,1310,0.0002443,1310,0.0051328,108,0.0005178,165,0.061718,1310,0.0032072,1310,0.001503,1297,7.83e-005,2,0.0001257,12,0.000437,1308,0.0011492,1310,0.0105282,1310,0.0003605,1310,0.0001977,1310,0.043462,1310,0.0029136,1310,0.0364413,1310,0.0032456,1297,236742,1310
918,1,0,5.71573,6.40443,2.33867,0.201346,0,0,0,0,0,0,0,0,1575,0,0,202,0,0,0,0,0,0.170374,1748,0.0125018,1748,0.0093338,1748,0.148424,1748,0.0774094,1510,0.0002737,1510,0.005699,124,0.0005728,190,0.0706842,1510,0.0036281,1510,0.0017304,1497,7.83e-005,2,0.0001257,12,0.0004944,1508,0.0014228,1510,0.0118913,1510,0.0004084,1510,0.0002296,1510,0.0499219,1510,0.0033251,1510,0.0419141,1510,0.0036889,1497,274342,1510
1018,1,3,4.90101,6.10375,2.71518,0.219788,27,15.2604,0.00628663,0.054557,0.00171613,0.00108781,6.8812,0,67,9,0,202,0,0,0,0,0,0.190221,1948,0.0127618,1948,0.0103499,1948,0.166984,1948,0.0869833,1710,0.0003055,1710,0.0063401,140,0.0006358,215,0.0794983,1710,0.0040152,1710,0.0019421,1697,7.83e-005,2,0.0001657,14,0.0005506,1708,0.0015991,1710,0.0132319,1710,0.0004582,1710,0.0002581,1710,0.0563559,1710,0.0037449,1710,0.0473292,1710,0.0041311,1697,311942,1710
1118,1,0,3.43071,5.56914,3.00057,0.211218,28,4.16659,0.199124,0.113496,0.00314374,0.00243376,6.69346,0,36,8,0,202,0,0,0,0,0,0.210173,2148,0.0133597,2148,0.0113312,2148,0.185347,2148,0.0961672,1910,0.0003385,1910,0.006845,153,0.0007005,240,0.0880538,1910,0.0043349,1910,0.0021175,1897,7.83e-005,2,0.0001657,14,0.0006136,1908,0.0016992,1910,0.0145653,1910,0.00051,1910,0.0002821,1910,0.0627565,1910,0.0041624,1910,0.0527593,1910,0.0045505,1897,349542,1910
1218,1,0,2.40149,4.93561,3.19408,0.201728,27,2.79869,0.149636,0.0615335,0.00304457,0.00229379,7.11754,0,27,5,0,202,0,0,0,0,0,0.23037,2348,0.0138227,2348,0.0123251,2348,0.204076,2348,0.105748,2110,0.0003714,2110,0.0076213,169,0.0007607,265,0.0967413,2110,0.0046695,2110,0.0023075,2097,7.83e-005,2,0.0001657,14,0.0007016,2108,0.001818,2110,0.0159311,2110,0.0005615,2110,0.0003074,2110,0.0691775,2110,0.0045964,2110,0.0581666,2110,0.0050016,2097,387142,2110
1318,1,0,1.68105,4.2847,3.30314,0.240925,30,2.60586,0.164525,0.0579837,0.00306614,0.00235988,7.12738,0,27,5,0,202,0,0,0,0,0,0.252891,2548,0.0142512,2548,0.0133175,2548,0.225164,2548,0.117722,2310,0.000404,2310,0.0092425,208,0.0008292,290,0.106968,2310,0.0050027,2310,0.0024953,2297,0.0006261,3,0.0001883,15,0.0007648,2307,0.002372,2310,0.0171922,2310,0.0006109,2310,0.0004666,2310,0.0760705,2310,0.0051338,2310,0.0625721,2310,0.0068294,2297,422458,2310
1418,1,0,1.17673,3.66311,3.33914,0.514851,28,2.69646,0.16247,0.0530458,0.00298165,0.00236137,6.4946,0,27,5,0,202,0,0,0,0,0,0.29333,2748,0.0147727,2748,0.0143076,2748,0.264081,2748,0.147771,2510,0.000445,2510,0.0131329,298,0.0009123,315,0.132982,2510,0.0053219,2510,0.0027085,2497,0.0025473,5,0.0010495,18,0.0008227,2497,0.0052773,2510,0.0184372,2510,0.0006623,2510,0.0008023,2510,0.0940097,2510,0.0068965,2510,0.0667576,2510,0.0186398,2497,506527,2510
1518,1,0,0.823713,3.09523,3.31475,0.825026,26,6.12025,0.314534,0.300529,0.00327839,0.00255388,6.80378,0,49,6,0,202,0,0,0,0,0,0.362147,2948,0.0151996,2948,0.0152998,2948,0.331468,2948,0.207081,2710,0.0004807,2710,0.0180015,387,0.0010546,340,0.187223,2710,0.0056285,2710,0.0029162,2697,0.008541,15,0.0012439,27,0.0008787,2685,0.014611,2710,0.0198208,2710,0.0007132,2710,0.001812,2710,0.129597,2710,0.0114098,2710,0.071004,2710,0.0451337,2697,677414,2710
1618,1,0,0.576599,2.5915,3.24242,0.63423,31,2.71784,0.20307,0.0600508,0.0030595,0.00244689,6.69716,0,25,5,0,202,0,0,0,0,0,0.431158,3148,0.0156306,3148,0.0164085,3148,0.398927,3148,0.265051,2910,0.0005164,2910,0.0196858,423,0.0011442,365,0.243356,2910,0.0059863,2910,0.003155,2897,0.0095193,16,0.0012439,27,0.0009438,2884,0.0178651,2910,0.0214353,2910,0.0007699,2910,0.0020406,2910,0.178798,2910,0.0190077,2910,0.0763989,2910,0.0805677,2897,906552,2910
1718,1,0,0.403619,2.15392,3.13357,0.632965,27,2.30397,0.167996,0.0468351,0.00311209,0.00247835,6.34442,0,23,4,0,202,0,0,0,0,0,0.49373,3348,0.016106,3348,0.0174467,3348,0.459975,3348,0.316471,3110,0.0005524,3110,0.0203398,446,0.0012101,390,0.293996,3110,0.0063439,3110,0.0033857,3097,0.0095193,16,0.0012439,27,0.0010107,3084,0.0181373,3110,0.0230243,3110,0.00083,3110,0.0020672,3110,0.2267,3110,0.0267038,3110,0.0818537,3110,0.114487,3097,1136780,3110
1818,1,0,0.282533,1.77965,2.99818,0.604766,34,2.43922,0.171707,0.0450346,0.00301161,0.00230291,6.29935,0,25,5,0,202,0,0,0,0,0,0.555966,3548,0.0164385,3548,0.0184713,3548,0.520844,3548,0.367785,3310,0.0005894,3310,0.0210089,468,0.0012801,415,0.344509,3310,0.0067267,3310,0.003618,3297,0.0095193,16,0.0012439,27,0.0010785,3284,0.0185524,3310,0.0246285,3310,0.0008856,3310,0.0020942,3310,0.274284,3310,0.0343994,3310,0.0872874,3310,0.148115,3297,1367175,3310
1918,1,0,0.197773,1.46327,2.84469,0.617173,36,2.64913,0.177442,0.0488995,0.0033344,0.00248857,6.70583,0,23,4,0,202,0,0,0,0,0,0.619405,3748,0.0168484,3748,0.0194934,3748,0.58284,3748,0.420318,3510,0.0006241,3510,0.0216845,491,0.0013469,440,0.39624,3510,0.0070844,3510,0.0038461,3497,0.0095193,16,0.0015159,30,0.0011422,3484,0.0197767,3510,0.0261336,3510,0.0009425,3510,0.0021214,3510,0.32214,3510,0.0419998,3510,0.0927325,3510,0.182079,3497,1597375,3510
2018,1,0,0.138441,1.19831,2.68005,0.873795,29,2.39878,0.196827,0.0463851,0.00306113,0.0023375,6.36982,0,27,6,0,202,0,0,0,0,0,0.685757,3948,0.0171903,3948,0.0205335,3948,0.647798,3948,0.475855,3710,0.0006591,3710,0.0228191,521,0.0014226,465,0.450506,3710,0.0074459,3710,0.0040838,3697,0.0108584,18,0.0015159,30,0.0012078,3682,0.0215932,3710,0.0277235,3710,0.0009998,3710,0.0022474,3710,0.370674,3710,0.049632,3710,0.0981341,3710,0.216678,3697,1827167,3710
