time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
224,0,0,0,0,0,0.053009,47,0,0,0,0,0,0,0,2991,0,0,214,0,0,0,0,0,0.0118893,352,0.0100835,352,0.0016839,352,7.27e-005,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,1,330,99,19.8,1.98,0.177055,0,0,0,0,0,0,0,0,2970,0,0,214,0,0,3,0,0,0.0257754,552,0.0106656,552,0.0027968,552,0.0122525,552,0.0057814,191,3.43e-005,191,0.0006629,17,8.68e-005,25,0.0049613,191,0.0003915,191,0.0001325,144,8.89e-005,2,0,0,6.46e-005,189,0.0002782,191,0.0012767,191,6.2e-005,191,2.83e-005,191,0.0025462,191,0.0002174,191,0.0018708,191,0.0003562,144,15302,191
424,1,21,75.6,30.96,4.878,0.632011,12,0,0,0,0,0,0.000460052,0,2898,1,0,214,0,0,0,0,0,0.0695512,752,0.0110378,752,0.0038021,752,0.0546405,752,0.0389206,391,7.09e-005,391,0.0020881,54,0.0003018,50,0.0363981,391,0.0008706,391,0.0003413,344,0.0029479,3,3.68e-005,2,0.0001351,388,0.0042465,391,0.0028985,391,0.0001167,391,0.0002243,391,0.0243074,391,0.0015582,391,0.0046626,391,0.0177293,344,131693,391
524,1,8,55.32,35.832,7.9734,0.863373,16,18.0079,0.141783,1.19671,0.00300409,0.00267911,7.07028,0,215,17,0,214,93,0,0,0,0,0.143082,952,0.011708,952,0.0047749,952,0.126518,952,0.101819,591,0.0001194,591,0.0063196,142,0.0004502,75,0.0948432,591,0.001241,591,0.0005712,544,0.0056727,7,0.0002968,11,0.0001949,578,0.0129166,591,0.0048645,591,0.0001738,591,0.000785,591,0.0677011,591,0.0060175,591,0.0077476,591,0.0532073,544,357307,591
624,1,6,40.524,36.7704,10.8531,0.685043,17,13.7231,0.430064,1.07254,0.00310766,0.00295164,6.91545,0,159,15,0,214,8,0,0,0,0,0.22864,1152,0.0124786,1152,0.0057886,1152,0.210281,1152,0.176796,791,0.0001591,791,0.0110823,237,0.0006264,100,0.164817,791,0.0016192,791,0.0007885,744,0.0115952,15,0.0007688,18,0.000259,770,0.0245052,791,0.0064865,791,0.0002284,791,0.0015934,791,0.116413,791,0.0138208,791,0.0109672,791,0.0904446,744,592126,791
724,1,6,30.1668,35.4497,13.3128,0.664574,29,13.0941,0.30075,0.951206,0.0032492,0.00286856,6.94206,0,167,12,0,214,0,0,0,0,0,0.297567,1352,0.0130383,1352,0.0067844,1352,0.277643,1352,0.234323,991,0.0001957,991,0.0123602,271,0.000718,125,0.220913,991,0.0019958,991,0.001014,944,0.0121609,16,0.0010572,27,0.0003296,969,0.0270454,991,0.0080737,991,0.0002894,991,0.0018829,991,0.16636,991,0.0227056,991,0.0147127,991,0.126991,944,828629,991
824,1,6,22.9168,32.9431,15.2758,0.652832,28,12.4255,0.356387,0.804518,0.00327776,0.00287475,6.64681,0,159,16,0,214,0,0,0,0,0,0.363277,1552,0.0135765,1552,0.0077882,1552,0.3418,1552,0.288389,1191,0.0002336,1191,0.0126624,284,0.0007948,150,0.274536,1191,0.0024274,1191,0.0012554,1144,0.0121609,16,0.0010572,27,0.0004021,1169,0.0277805,1191,0.0097299,1191,0.0003475,1191,0.0019082,1191,0.216619,1191,0.0316137,1191,0.0186376,1191,0.163575,1144,1064229,1191
924,1,13,19.9417,30.3428,16.7825,0.612942,29,11.2631,0.289914,0.76136,0.00320986,0.00289591,6.75171,0,154,11,0,214,0,0,0,0,0,0.429001,1752,0.014021,1752,0.0087723,1752,0.406085,1752,0.342864,1391,0.0002694,1391,0.0134091,307,0.0008786,175,0.328121,1391,0.0028473,1391,0.0014984,1344,0.0121609,16,0.0010572,27,0.0004714,1369,0.0292656,1391,0.0113263,1391,0.0004055,1391,0.0020173,1391,0.266068,1391,0.0404005,1391,0.0224267,1391,0.199657,1344,1298153,1391
1024,1,0,13.9592,27.0661,17.8109,0.622511,34,10.6052,0.257243,0.705896,0.00330815,0.00279051,6.73812,0,152,10,0,214,0,0,0,0,0,0.495445,1952,0.0144931,1952,0.0097976,1952,0.471019,1952,0.398481,1591,0.0003039,1591,0.0151186,361,0.0009587,200,0.381892,1591,0.0031825,1591,0.0017202,1544,0.0121609,16,0.0011648,31,0.0005359,1569,0.032897,1591,0.0127048,1591,0.0004621,1591,0.0021556,1591,0.313767,1591,0.048738,1591,0.0259594,1591,0.23481,1544,1529286,1591
1124,1,0,9.77145,23.6072,18.3905,0.682941,28,10.3587,0.215268,0.712027,0.00329877,0.00299748,7.00553,0,138,9,0,214,0,0,0,0,0,0.55806,2152,0.0149769,2152,0.0107609,2152,0.532177,2152,0.450175,1791,0.0003383,1791,0.0153995,373,0.0010233,225,0.433186,1791,0.003547,1791,0.0019445,1744,0.0121609,16,0.0011648,31,0.0006003,1769,0.0335938,1791,0.0141004,1791,0.0005189,1791,0.0021833,1791,0.36209,1791,0.0571363,1791,0.02977,1791,0.270071,1744,1764886,1791
